"from_pin.full_name","to_pin.full_name",delay_max_rise,delay_max_fall,"variation_delay_max_rise.mean","variation_delay_max_rise.std_dev","variation_delay_max_fall.mean","variation_delay_max_fall.std_dev"
FE_OFC1340_n_2596/Y,g213525/C,0.422139,0.423714,0.422139,UNINIT,0.423714,UNINIT
g217253/Y,FE_OFC1734_n_3440/A,0.106933,0.106901,0.106933,UNINIT,0.106901,UNINIT
g217253/Y,g213469/D,0.106933,0.106901,0.106933,UNINIT,0.106901,UNINIT
g217253/Y,g213755/E,0.106933,0.106901,0.106933,UNINIT,0.106901,UNINIT
g213011__5477/Y,g212805__4733/A1,0.052044,0.052166,0.052044,UNINIT,0.052166,UNINIT
g219338/Y,g213835/C,1.076380,1.076380,1.076380,UNINIT,1.076380,UNINIT
g219338/Y,FE_OFC1430_n_2180/A,1.076380,1.076380,1.076380,UNINIT,1.076380,UNINIT
g219338/Y,g213024__8246/B2,1.076380,1.076380,1.076380,UNINIT,1.076380,UNINIT
g219338/Y,g216453/B,1.076380,1.076380,1.076380,UNINIT,1.076380,UNINIT
g219338/Y,g213344/B,1.076380,1.076380,1.076380,UNINIT,1.076380,UNINIT
g219338/Y,g213079__5122/B2,1.076380,1.076380,1.076380,UNINIT,1.076380,UNINIT
g216498/Y,g214063/B,0.048967,0.049230,0.048967,UNINIT,0.049230,UNINIT
g215579/Y,g214082/C,0.031593,0.031463,0.031593,UNINIT,0.031463,UNINIT
g213499/Y,g212934__8246/A1,0.033779,0.033969,0.033779,UNINIT,0.033969,UNINIT
g217303/Y,g213956/B1,0.491231,0.489854,0.491231,UNINIT,0.489854,UNINIT
g217303/Y,g216126/B,0.762781,0.760630,0.762781,UNINIT,0.760630,UNINIT
g217303/Y,g216136/B,0.893143,0.890618,0.893143,UNINIT,0.890618,UNINIT
g217303/Y,g216137/B,0.883408,0.880911,0.883408,UNINIT,0.880911,UNINIT
g217303/Y,FE_OCPC32562_n_1740/A,0.886819,0.884311,0.886819,UNINIT,0.884311,UNINIT
g217303/Y,g214251/A2,0.836806,0.834442,0.836806,UNINIT,0.834442,UNINIT
g217303/Y,g215449/B,0.910660,0.908084,0.910660,UNINIT,0.908084,UNINIT
g214774/Y,g213741/C,0.043903,0.043719,0.043903,UNINIT,0.043719,UNINIT
FE_OFC3256_n_2225/Y,g217171/B,1.022360,1.022360,1.022360,UNINIT,1.022360,UNINIT
FE_OFC3256_n_2225/Y,FE_OFC3257_n_2225/A,1.022360,1.022360,1.022360,UNINIT,1.022360,UNINIT
FE_OFC3256_n_2225/Y,g213024__8246/A2,1.022360,1.022360,1.022360,UNINIT,1.022360,UNINIT
FE_OFC3256_n_2225/Y,g214326/C,1.022360,1.022360,1.022360,UNINIT,1.022360,UNINIT
FE_OFC3256_n_2225/Y,g213244__3680/A1,1.022360,1.022360,1.022360,UNINIT,1.022360,UNINIT
FE_OFC3256_n_2225/Y,g213011__5477/A2,1.022360,1.022360,1.022360,UNINIT,1.022360,UNINIT
FE_OFC562_n_2708/Y,g213139__1881/C,0.030321,0.030178,0.030321,UNINIT,0.030178,UNINIT
g213305/Y,g212983__5477/B1,0.062373,0.062710,0.062373,UNINIT,0.062710,UNINIT
g213276__5122/Y,g212803__5115/A1,0.040558,0.040706,0.040558,UNINIT,0.040706,UNINIT
g213008__1666/Y,g212910__9315/A2,0.030728,0.030680,0.030728,UNINIT,0.030680,UNINIT
g212975__6161/Y,g212821__6783/B,0.093411,0.093429,0.093411,UNINIT,0.093429,UNINIT
g215340/Y,g213376/D,0.034753,0.034638,0.034753,UNINIT,0.034638,UNINIT
g213060__9315/Y,g212822__3680/B,0.054759,0.054770,0.054759,UNINIT,0.054770,UNINIT
g212934__8246/Y,g212706__1881/A2,0.050351,0.050484,0.050351,UNINIT,0.050484,UNINIT
g212750__5526/Y,FE_OFC3008_n_169/A,0.550389,0.550514,0.550389,UNINIT,0.550514,UNINIT
g212750__5526/Y,g110451/B2,0.550389,0.550514,0.550389,UNINIT,0.550514,UNINIT
g212750__5526/Y,FE_OFC3009_n_169/A,0.550389,0.550514,0.550389,UNINIT,0.550514,UNINIT
FE_OFC1369_n_2653/Y,g213054__6131/B1,0.550269,0.506835,0.550269,UNINIT,0.506835,UNINIT
FE_OFC1369_n_2653/Y,g214169/C,0.416856,0.384004,0.416856,UNINIT,0.384004,UNINIT
FE_OFC1369_n_2653/Y,FE_OFC1370_n_2653/A,0.695743,0.662629,0.695743,UNINIT,0.662629,UNINIT
FE_OFC1369_n_2653/Y,g213282__7482/A1,0.698559,0.665537,0.698559,UNINIT,0.665537,UNINIT
FE_OFC1369_n_2653/Y,g213229__9315/B1,0.691928,0.658693,0.691928,UNINIT,0.658693,UNINIT
FE_OFC1369_n_2653/Y,FE_OFC1371_n_2653/A,0.262811,0.237770,0.262811,UNINIT,0.237770,UNINIT
g213299/Y,g213101__5526/B,0.105835,0.106195,0.105835,UNINIT,0.106195,UNINIT
g213054__6131/Y,g212750__5526/A1,0.039473,0.039623,0.039473,UNINIT,0.039623,UNINIT
g213837/Y,g213079__5122/C,0.043016,0.043187,0.043016,UNINIT,0.043187,UNINIT
g217166/Y,g213206__7410/A1,0.190134,0.190324,0.190134,UNINIT,0.190324,UNINIT
g217166/Y,g213191__1705/A2,0.190134,0.190324,0.190134,UNINIT,0.190324,UNINIT
g217166/Y,g213060__9315/A2,0.190134,0.190324,0.190134,UNINIT,0.190324,UNINIT
g213282__7482/Y,g213024__8246/C,0.066098,0.066371,0.066098,UNINIT,0.066371,UNINIT
g213033__9945/Y,g212750__5526/B1,0.034169,0.034186,0.034169,UNINIT,0.034186,UNINIT
g213229__9315/Y,g212961__5526/A2,0.087906,0.087564,0.087906,UNINIT,0.087564,UNINIT
g213525/Y,g213190__2802/C,0.116780,0.117311,0.116780,UNINIT,0.117311,UNINIT
FE_OFC1734_n_3440/Y,g213833/C,0.104116,0.104198,0.104116,UNINIT,0.104198,UNINIT
FE_OFC1734_n_3440/Y,g212803__5115/B2,0.104116,0.104198,0.104116,UNINIT,0.104198,UNINIT
FE_OFC1734_n_3440/Y,g212983__5477/A2,0.104116,0.104198,0.104116,UNINIT,0.104198,UNINIT
g213469/Y,g212706__1881/B,0.082991,0.083428,0.082991,UNINIT,0.083428,UNINIT
g213755/Y,g212961__5526/C,0.020243,0.020213,0.020243,UNINIT,0.020213,UNINIT
g212805__4733/Y,g212706__1881/C,0.165411,0.165330,0.165411,UNINIT,0.165330,UNINIT
g213835/Y,g212934__8246/C,0.079351,0.079446,0.079351,UNINIT,0.079446,UNINIT
FE_OFC1430_n_2180/Y,g213230__9945/A1,0.127935,0.128096,0.127935,UNINIT,0.128096,UNINIT
FE_OFC1430_n_2180/Y,g213317/B2,0.127935,0.128096,0.127935,UNINIT,0.128096,UNINIT
FE_OFC1430_n_2180/Y,g213555/B,0.127935,0.128096,0.127935,UNINIT,0.128096,UNINIT
FE_OFC1430_n_2180/Y,g214697/C,0.127935,0.128096,0.127935,UNINIT,0.128096,UNINIT
g213024__8246/Y,g212917__5477/A2,0.090876,0.091027,0.090876,UNINIT,0.091027,UNINIT
g216453/Y,g214719/B,0.013740,0.013775,0.013740,UNINIT,0.013775,UNINIT
g213344/Y,g213033__9945/C,0.021129,0.021029,0.021129,UNINIT,0.021029,UNINIT
g213079__5122/Y,g212821__6783/A1,0.179508,0.178873,0.179508,UNINIT,0.178873,UNINIT
g214063/Y,g213637/C,0.045480,0.045546,0.045480,UNINIT,0.045546,UNINIT
g214082/Y,g213079__5122/A1,0.031222,0.031335,0.031222,UNINIT,0.031335,UNINIT
g213956/Y,g213277__8246/B,0.024149,0.024030,0.024149,UNINIT,0.024030,UNINIT
g216126/Y,g214856/A2,0.062606,0.062404,0.062606,UNINIT,0.062404,UNINIT
g216126/Y,g214985/B,0.062606,0.062404,0.062606,UNINIT,0.062404,UNINIT
g216126/Y,g213696/A1,0.062606,0.062404,0.062606,UNINIT,0.062404,UNINIT
g216136/Y,g214031/B2,0.077316,0.077346,0.077316,UNINIT,0.077346,UNINIT
g216136/Y,g214032/B1,0.077316,0.077346,0.077316,UNINIT,0.077346,UNINIT
g216136/Y,g215789/A,0.077316,0.077346,0.077316,UNINIT,0.077346,UNINIT
g216137/Y,g214031/A1,0.066510,0.066261,0.066510,UNINIT,0.066261,UNINIT
g216137/Y,g214032/A1,0.066510,0.066261,0.066510,UNINIT,0.066261,UNINIT
g216137/Y,g213696/B1,0.066510,0.066261,0.066510,UNINIT,0.066261,UNINIT
FE_OCPC32562_n_1740/Y,g214099/A1,0.019470,0.019471,0.019470,UNINIT,0.019471,UNINIT
g214251/Y,g214032/C,0.023798,0.023686,0.023798,UNINIT,0.023686,UNINIT
g215449/Y,g214856/B,0.035290,0.035170,0.035290,UNINIT,0.035170,UNINIT
g213741/Y,g213230__9945/B,0.059229,0.059111,0.059229,UNINIT,0.059111,UNINIT
g217171/Y,g213210__5107/B,0.091531,0.091670,0.091531,UNINIT,0.091670,UNINIT
g217171/Y,g213515/C,0.091531,0.091670,0.091531,UNINIT,0.091670,UNINIT
g217171/Y,g213791/E,0.091531,0.091670,0.091531,UNINIT,0.091670,UNINIT
FE_OFC3257_n_2225/Y,g213317/A1,0.026351,0.026463,0.026351,UNINIT,0.026463,UNINIT
g214326/Y,g213299/A3,0.031691,0.031579,0.031691,UNINIT,0.031579,UNINIT
g213244__3680/Y,g213033__9945/B,0.040354,0.040227,0.040354,UNINIT,0.040227,UNINIT
g213139__1881/Y,g212810__2346/C,0.075877,0.074892,0.075877,UNINIT,0.074892,UNINIT
g212983__5477/Y,g212917__5477/B,0.056567,0.056578,0.056567,UNINIT,0.056578,UNINIT
g212803__5115/Y,g212724__9945/B,0.136757,0.136782,0.136757,UNINIT,0.136782,UNINIT
g212910__9315/Y,FE_OFC3006_n_8239/A,0.050153,0.050189,0.050153,UNINIT,0.050189,UNINIT
g212821__6783/Y,FE_OCPC2175_n_8305/A,0.222196,0.222388,0.222196,UNINIT,0.222388,UNINIT
g213376/Y,g213141__7482/B,0.061012,0.060891,0.061012,UNINIT,0.060891,UNINIT
g212822__3680/Y,g110767/B,0.689639,0.676496,0.689639,UNINIT,0.676496,UNINIT
g212822__3680/Y,FE_OCPC2153_n_8221/A,0.689639,0.676496,0.689639,UNINIT,0.676496,UNINIT
g212706__1881/Y,FE_OCPC32478_n_8269/A,0.385995,0.385873,0.385995,UNINIT,0.385873,UNINIT
g212706__1881/Y,g111118/A,0.385995,0.385873,0.385995,UNINIT,0.385873,UNINIT
FE_OFC3008_n_169/Y,g110451/A2,0.027267,0.027332,0.027267,UNINIT,0.027332,UNINIT
g110451/Y,g109839/B2,0.086049,0.086034,0.086049,UNINIT,0.086034,UNINIT
g110451/Y,g109916/A2,0.086049,0.086034,0.086049,UNINIT,0.086034,UNINIT
g110451/Y,g110191/A,0.086049,0.086034,0.086049,UNINIT,0.086034,UNINIT
FE_OFC3009_n_169/Y,text_out_reg[58]/D,0.302965,0.303353,0.302965,UNINIT,0.303353,UNINIT
FE_OFC3009_n_169/Y,FE_OFC3010_n_169/A,0.302965,0.303353,0.302965,UNINIT,0.303353,UNINIT
FE_OFC3009_n_169/Y,g110682/B1,0.302965,0.303353,0.302965,UNINIT,0.303353,UNINIT
FE_OFC3009_n_169/Y,g110685/A2,0.302965,0.303353,0.302965,UNINIT,0.303353,UNINIT
g214169/Y,g213190__2802/A2,0.026611,0.026580,0.026611,UNINIT,0.026580,UNINIT
FE_OFC1370_n_2653/Y,g213112__5115/C,0.086827,0.086709,0.086827,UNINIT,0.086709,UNINIT
FE_OFC1370_n_2653/Y,g213244__3680/B1,0.086827,0.086709,0.086827,UNINIT,0.086709,UNINIT
FE_OFC1371_n_2653/Y,g214304/B,0.021166,0.021034,0.021166,UNINIT,0.021034,UNINIT
g213101__5526/Y,g212822__3680/A1,0.084073,0.083731,0.084073,UNINIT,0.083731,UNINIT
g213206__7410/Y,g212975__6161/B,0.115208,0.115054,0.115208,UNINIT,0.115054,UNINIT
g213191__1705/Y,g212810__2346/A,0.105256,0.105293,0.105256,UNINIT,0.105293,UNINIT
g212961__5526/Y,g212910__9315/B,0.076146,0.075997,0.076146,UNINIT,0.075997,UNINIT
g213190__2802/Y,g212724__9945/A1,0.104109,0.103704,0.104109,UNINIT,0.103704,UNINIT
g213833/Y,g213277__8246/C,0.048643,0.048712,0.048643,UNINIT,0.048712,UNINIT
g213230__9945/Y,g213190__2802/B,0.046863,0.047056,0.046863,UNINIT,0.047056,UNINIT
g213317/Y,g212961__5526/A1,0.075388,0.075528,0.075388,UNINIT,0.075528,UNINIT
g213555/Y,g213011__5477/C,0.024296,0.024430,0.024296,UNINIT,0.024430,UNINIT
g214697/Y,g213754/B,0.024275,0.024303,0.024275,UNINIT,0.024303,UNINIT
g212917__5477/Y,FE_OCPC2271_n_8307/A,0.052149,0.052198,0.052149,UNINIT,0.052198,UNINIT
g214719/Y,g213734/C,0.020995,0.021164,0.020995,UNINIT,0.021164,UNINIT
g213637/Y,g213079__5122/A2,0.115057,0.114875,0.115057,UNINIT,0.114875,UNINIT
g213277__8246/Y,g213191__1705/B,0.071745,0.071640,0.071745,UNINIT,0.071640,UNINIT
g214856/Y,g214031/C,0.021878,0.021773,0.021878,UNINIT,0.021773,UNINIT
g214985/Y,g214251/B,0.026755,0.026690,0.026755,UNINIT,0.026690,UNINIT
g213696/Y,g212750__5526/C,0.113172,0.113446,0.113172,UNINIT,0.113446,UNINIT
g214031/Y,g212983__5477/C,0.131332,0.131236,0.131332,UNINIT,0.131236,UNINIT
g214032/Y,g212803__5115/C,0.070069,0.070307,0.070069,UNINIT,0.070307,UNINIT
g215789/Y,g214099/B2,0.021905,0.021913,0.021905,UNINIT,0.021913,UNINIT
g214099/Y,g213696/C,0.028499,0.028244,0.028499,UNINIT,0.028244,UNINIT
g213210__5107/Y,g213060__9315/C,0.071147,0.071084,0.071147,UNINIT,0.071084,UNINIT
g213515/Y,g213206__7410/B,0.040014,0.040111,0.040014,UNINIT,0.040111,UNINIT
g213791/Y,g212810__2346/D,0.172846,0.170540,0.172846,UNINIT,0.170540,UNINIT
g212810__2346/Y,g110729/B2,0.464863,0.464932,0.464863,UNINIT,0.464932,UNINIT
g212810__2346/Y,g110804/B1,0.464863,0.464932,0.464863,UNINIT,0.464932,UNINIT
g212810__2346/Y,g111016/A,0.464863,0.464932,0.464863,UNINIT,0.464932,UNINIT
g212810__2346/Y,g110409/A1,0.464863,0.464932,0.464863,UNINIT,0.464932,UNINIT
g212810__2346/Y,FE_OCPC32563_n_8285/A,0.464863,0.464932,0.464863,UNINIT,0.464932,UNINIT
g212724__9945/Y,g110803/B,0.306585,0.307859,0.306585,UNINIT,0.307859,UNINIT
g212724__9945/Y,FE_OCPC32568_n_8240/A,0.306585,0.307859,0.306585,UNINIT,0.307859,UNINIT
g212724__9945/Y,FE_OCPC32440_n_8240/A,0.306585,0.307859,0.306585,UNINIT,0.307859,UNINIT
FE_OFC3006_n_8239/Y,g110767/A,2.611965,2.590364,2.611965,UNINIT,2.590364,UNINIT
FE_OFC3006_n_8239/Y,g110783/B2,3.833035,3.812453,3.833035,UNINIT,3.812453,UNINIT
FE_OFC3006_n_8239/Y,g110785/A2,3.775583,3.769928,3.775583,UNINIT,3.769928,UNINIT
FE_OFC3006_n_8239/Y,g110804/A2,3.779438,3.774002,3.779438,UNINIT,3.774002,UNINIT
FE_OFC3006_n_8239/Y,FE_OFC3007_n_8239/A,3.612796,3.592453,3.612796,UNINIT,3.592453,UNINIT
FE_OFC3006_n_8239/Y,text_out_reg[63]/D,3.327434,3.307054,3.327434,UNINIT,3.307054,UNINIT
FE_OFC3006_n_8239/Y,g110451/B1,3.587748,3.567439,3.587748,UNINIT,3.567439,UNINIT
FE_OCPC2175_n_8305/Y,g110752/B2,1.795146,1.790606,1.795146,UNINIT,1.790606,UNINIT
FE_OCPC2175_n_8305/Y,FE_OCPC2176_n_8305/A,2.412874,2.406994,2.412874,UNINIT,2.406994,UNINIT
FE_OCPC2175_n_8305/Y,FE_OCPC2178_n_8305/A,2.034953,2.029981,2.034953,UNINIT,2.029981,UNINIT
FE_OCPC2175_n_8305/Y,g110009/A1,2.287260,2.281579,2.287260,UNINIT,2.281579,UNINIT
FE_OCPC2175_n_8305/Y,FE_OCPC32600_n_191/A,2.386401,2.380562,2.386401,UNINIT,2.380562,UNINIT
FE_OCPC2175_n_8305/Y,FE_OCPC2177_n_8305/A,2.237460,2.231861,2.237460,UNINIT,2.231861,UNINIT
FE_OCPC2175_n_8305/Y,FE_OCPC2179_n_8305/A,2.407315,2.401443,2.407315,UNINIT,2.401443,UNINIT
g213141__7482/Y,g212810__2346/B,0.087028,0.086057,0.087028,UNINIT,0.086057,UNINIT
g110767/Y,g109841/A2,0.214148,0.214033,0.214148,UNINIT,0.214033,UNINIT
g110767/Y,g109996/A2,0.214148,0.214033,0.214148,UNINIT,0.214033,UNINIT
g110767/Y,g110495/A,0.214148,0.214033,0.214148,UNINIT,0.214033,UNINIT
FE_OCPC2153_n_8221/Y,FE_OCPC2837_FE_OFN204_n_8221/A,0.151894,0.152150,0.151894,UNINIT,0.152150,UNINIT
FE_OCPC2153_n_8221/Y,g110727/B2,0.151894,0.152150,0.151894,UNINIT,0.152150,UNINIT
FE_OCPC2153_n_8221/Y,FE_OCPC2156_n_8221/A,0.151894,0.152150,0.151894,UNINIT,0.152150,UNINIT
FE_OCPC32478_n_8269/Y,g110713/B2,0.144839,0.144659,0.144839,UNINIT,0.144659,UNINIT
FE_OCPC32478_n_8269/Y,g110734/B2,0.144839,0.144659,0.144839,UNINIT,0.144659,UNINIT
FE_OCPC32478_n_8269/Y,g110736/B2,0.144839,0.144659,0.144839,UNINIT,0.144659,UNINIT
FE_OCPC32478_n_8269/Y,g110756/B1,0.144839,0.144659,0.144839,UNINIT,0.144659,UNINIT
FE_OCPC32478_n_8269/Y,text_out_reg[62]/D,0.144839,0.144659,0.144839,UNINIT,0.144659,UNINIT
g111118/Y,g110713/A2,0.168928,0.169237,0.168928,UNINIT,0.169237,UNINIT
g111118/Y,g110734/A2,0.168928,0.169237,0.168928,UNINIT,0.169237,UNINIT
g111118/Y,g110736/A2,0.168928,0.169237,0.168928,UNINIT,0.169237,UNINIT
g111118/Y,g110756/A2,0.168928,0.169237,0.168928,UNINIT,0.169237,UNINIT
g109839/Y,g109785/A,0.049592,0.049490,0.049592,UNINIT,0.049490,UNINIT
g109916/Y,g109665/B,0.068352,0.060324,0.068352,UNINIT,0.060324,UNINIT
g110191/Y,g109839/A2,0.038272,0.038295,0.038272,UNINIT,0.038295,UNINIT
g110191/Y,g109916/B2,0.038272,0.038295,0.038272,UNINIT,0.038295,UNINIT
FE_OFC3010_n_169/Y,g109745/B,0.122206,0.126718,0.122206,UNINIT,0.126718,UNINIT
FE_OFC3010_n_169/Y,g110682/A2,0.122206,0.126718,0.122206,UNINIT,0.126718,UNINIT
FE_OFC3010_n_169/Y,g110685/B1,0.122206,0.126718,0.122206,UNINIT,0.126718,UNINIT
g110682/Y,g109945/A,0.094293,0.098311,0.094293,UNINIT,0.098311,UNINIT
g110685/Y,g109664/B,0.061464,0.054443,0.061464,UNINIT,0.054443,UNINIT
g213112__5115/Y,g212805__4733/A2,0.028886,0.028927,0.028886,UNINIT,0.028927,UNINIT
g214304/Y,g213844/B,0.010556,0.010546,0.010556,UNINIT,0.010546,UNINIT
g213754/Y,g213554/A,0.123687,0.125154,0.123687,UNINIT,0.125154,UNINIT
FE_OCPC2271_n_8307/Y,FE_OCPC2273_n_8307/A,0.810846,0.810859,0.810846,UNINIT,0.810859,UNINIT
FE_OCPC2271_n_8307/Y,FE_OCPC2272_n_8307/A,0.810846,0.810859,0.810846,UNINIT,0.810859,UNINIT
FE_OCPC2271_n_8307/Y,g110457/A2,0.810846,0.810859,0.810846,UNINIT,0.810859,UNINIT
FE_OCPC2271_n_8307/Y,FE_OCPC32437_n_8771/A,0.810846,0.810859,0.810846,UNINIT,0.810859,UNINIT
g213734/Y,g213101__5526/C,0.027643,0.027829,0.027643,UNINIT,0.027829,UNINIT
g110729/Y,g109982/B1,0.140356,0.140199,0.140356,UNINIT,0.140199,UNINIT
g110729/Y,FE_OFC2944_n_675/A,0.140356,0.140199,0.140356,UNINIT,0.140199,UNINIT
g110804/Y,g109812/B,0.267737,0.275586,0.267737,UNINIT,0.275586,UNINIT
g110804/Y,g109910/A2,0.267737,0.275586,0.267737,UNINIT,0.275586,UNINIT
g110804/Y,g109978/A2,0.267737,0.275586,0.267737,UNINIT,0.275586,UNINIT
g110804/Y,g110543/A,0.267737,0.275586,0.267737,UNINIT,0.275586,UNINIT
g111016/Y,g110729/A2,0.080827,0.080913,0.080827,UNINIT,0.080913,UNINIT
g111016/Y,g110804/A1,0.080827,0.080913,0.080827,UNINIT,0.080913,UNINIT
g111016/Y,FE_OCPC32518_n_229/A,0.080827,0.080913,0.080827,UNINIT,0.080913,UNINIT
g111016/Y,g110409/B1,0.080827,0.080913,0.080827,UNINIT,0.080913,UNINIT
g110409/Y,g109943/A,0.110806,0.115273,0.110806,UNINIT,0.115273,UNINIT
FE_OCPC32563_n_8285/Y,text_out_reg[56]/D,0.018564,0.018718,0.018564,UNINIT,0.018718,UNINIT
g110803/Y,FE_OCPC32526_n_72/A,0.081014,0.080969,0.081014,UNINIT,0.080969,UNINIT
g110803/Y,g110009/A2,0.081014,0.080969,0.081014,UNINIT,0.080969,UNINIT
g110803/Y,g110541/A,0.081014,0.080969,0.081014,UNINIT,0.080969,UNINIT
FE_OCPC32568_n_8240/Y,FE_OCPC2089_n_8240/A,0.024109,0.024088,0.024109,UNINIT,0.024088,UNINIT
FE_OCPC32440_n_8240/Y,FE_OCPC2090_n_8240/A,0.024152,0.024162,0.024152,UNINIT,0.024162,UNINIT
g110783/Y,g109993/B,0.069924,0.069790,0.069924,UNINIT,0.069790,UNINIT
g110783/Y,g111262/B,0.069924,0.069790,0.069924,UNINIT,0.069790,UNINIT
g110785/Y,FE_OCPC32602_n_76/A,0.115700,0.115686,0.115700,UNINIT,0.115686,UNINIT
g110785/Y,g109875/B2,0.115700,0.115686,0.115700,UNINIT,0.115686,UNINIT
g110785/Y,g110520/A,0.115700,0.115686,0.115700,UNINIT,0.115686,UNINIT
FE_OFC3007_n_8239/Y,g110783/A2,0.171816,0.171747,0.171816,UNINIT,0.171747,UNINIT
FE_OFC3007_n_8239/Y,g110785/B2,0.171816,0.171747,0.171816,UNINIT,0.171747,UNINIT
FE_OFC3007_n_8239/Y,g110804/B2,0.171816,0.171747,0.171816,UNINIT,0.171747,UNINIT
FE_OFC3007_n_8239/Y,g110451/A1,0.171816,0.171747,0.171816,UNINIT,0.171747,UNINIT
g110752/Y,g109869/A,0.111986,0.111858,0.111986,UNINIT,0.111858,UNINIT
g110752/Y,FE_OCPC32503_n_656/A,0.111986,0.111858,0.111986,UNINIT,0.111858,UNINIT
FE_OCPC2176_n_8305/Y,g109966/B1,0.139769,0.140030,0.139769,UNINIT,0.140030,UNINIT
FE_OCPC2176_n_8305/Y,FE_OCPC2181_n_8305/A,0.139769,0.140030,0.139769,UNINIT,0.140030,UNINIT
